sno,x,y,villdist,rugged,WP numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity
717,8672250,3796360,2616.2,38.14,42,0.04,0,0,0,0
718,8675250,3796360,4590.47,8.83,42,0.04,0,0,0,0
719,8678250,3796360,7300.71,24.35,940,0.58,0,0,0,0
720,8681250,3796360,10174.89,14.93,940,0.58,0,0,0,0
721,8684250,3796360,10685.66,57.42,940,0.58,0,0,0,0
722,8687250,3796360,11826.15,56.12,940,0.58,0,0,0,0
723,8690250,3796360,13547.42,30.82,940,0.58,0,0,0,0
724,8693250,3796360,15618.08,65.73,940,0.58,0,0,0,0
730,8711250,3796360,27137.26,34.9,940,0.58,0,0,0,0
737,8627250,3799360,28126.72,13.91,10,0.01,0,5000,0,25.08
738,8630250,3799360,25129.28,28.9,10,0.01,0,5000,0,25.08
739,8633250,3799360,22132.52,24.32,10,0.01,0,5000,0,25.08
740,8636250,3799360,19136.78,15.1,10,0.01,0,5000,0,25.08
741,8639250,3799360,16142.62,10.22,10,0.01,0,5000,0,165.16
742,8642250,3799360,13151.13,28.16,10,0.01,0,5000,0,165.16
743,8645250,3799360,10164.65,58.76,10,0.01,0,0,0,0
