FID,Field1,Rgd,Alt,StdRgd,StdAlt,D.0,x,y
263,3290,47.3390007,4268,0.243336605,-0.781682969,0.000193937,330262.5272,3133250.081
264,3291,47.3903008,3763,0.245809807,-1.460486789,0.000165427,331262.5272,3133250.081
265,3292,55.3586998,3297,0.629969971,-2.086868135,8.99E-05,332262.5272,3133250.081
266,3293,58.3777008,3230,0.775517392,-2.176927256,7.94E-05,333262.5272,3133250.081
267,3294,58.0628014,3746,0.760335947,-1.48333761,0.000163055,334262.5272,3133250.081
268,3295,50.9715004,3227,0.418461079,-2.180959754,7.89E-05,335262.5272,3133250.081
269,3462,50.6041985,3822,0.400753286,-1.381180996,0.000173131,281262.5272,3134250.081
270,3463,48.0280991,4276,0.276558355,-0.770929641,0.000193611,282262.5272,3134250.081
271,3464,42.3619003,3759,0.003388316,-1.465863452,0.000164874,283262.5272,3134250.081
272,3465,45.6571007,3502,0.162251436,-1.811314109,0.000124169,284262.5272,3134250.081
273,3466,55.6158981,3270,0.642369619,-2.123160617,8.56E-05,285262.5272,3134250.081
274,3467,57.6957016,3552,0.742637898,-1.74410581,0.000132609,286262.5272,3134250.081
275,3468,53.7416992,3422,0.552013632,-1.918847388,0.000110585,287262.5272,3134250.081
276,3469,53.1590996,3654,0.523926238,-1.60700088,0.000149259,288262.5272,3134250.081
277,3470,50.4794998,3595,0.394741505,-1.686306673,0.000139752,289262.5272,3134250.081
278,3471,49.4360008,3493,0.34443394,-1.823411603,0.000122642,290262.5272,3134250.081
279,3472,53.7467003,3408,0.552254737,-1.937665711,0.000108219,291262.5272,3134250.081
280,3473,61.821701,2766,0.941554218,-2.800620271,2.61E-05,292262.5272,3134250.081
281,3479,65.9124985,3431,1.138773439,-1.906749894,0.000112109,298262.5272,3134250.081
282,3480,65.3501968,3605,1.111664616,-1.672865013,0.00014139,299262.5272,3134250.081
283,3481,64.9539032,4012,1.09255912,-1.12578946,0.000190985,300262.5272,3134250.081
284,3482,71.0775986,4426,1.38778528,-0.569304744,0.000183098,301262.5272,3134250.081
285,3483,66.1179962,4079,1.148680577,-1.035730339,0.000194256,302262.5272,3134250.081
286,3484,67.7002029,4241,1.224959486,-0.81797545,0.000194853,303262.5272,3134250.081
287,3485,66.7945023,3503,1.181295246,-1.809969943,0.000124339,304262.5272,3134250.081
288,3486,64.7646027,4079,1.083432857,-1.035730339,0.000194256,305262.5272,3134250.081
289,3487,66.3526001,3956,1.159990938,-1.201062754,0.00018697,306262.5272,3134250.081
290,3488,72.7088013,4676,1.466426309,-0.233263249,0.000150595,307262.5272,3134250.081
291,3489,69.6849976,5582,1.320647348,0.984551129,2.54E-05,308262.5272,3134250.081
292,3490,59.9039993,5159,0.849100941,0.41596892,7.18E-05,309262.5272,3134250.081
293,3491,53.1889,4742,0.525362929,-0.144548294,0.00014,310262.5272,3134250.081
294,3492,50.5325012,4718,0.397296727,-0.176808278,0.000143912,311262.5272,3134250.081
295,3493,50.5621986,4822,0.398728452,-0.037015016,0.000126629,312262.5272,3134250.081
296,3494,55.176899,4449,0.621205271,-0.538388926,0.0001808,313262.5272,3134250.081
297,3495,66.7347031,4492,1.178412299,-0.480589789,0.000176067,314262.5272,3134250.081
298,3496,79.6957016,5358,1.803267971,0.68345795,4.61E-05,315262.5272,3134250.081
299,3498,51.7508011,5578,0.456031523,0.979174465,2.57E-05,317262.5272,3134250.081
300,3499,60.4944,5505,0.877564429,0.881050349,3.15E-05,318262.5272,3134250.081
301,3500,67.7180023,5355,1.225817604,0.679425452,4.64E-05,319262.5272,3134250.081
302,3501,68.427597,5799,1.260027489,1.276235147,1.29E-05,320262.5272,3134250.081
303,3502,58.4077988,5559,0.77696843,0.953635312,2.71E-05,321262.5272,3134250.081
